종목코드 , 회사명, 배당기록 
018260, 삼성에스디에스,2012년:250 2013년:250 2014년:500 2015년:500 
215200, 메가스터디교육,-년:- -년:- -년:- 2015년:1200 
001820, 삼화콘덴서,2012년:50 2013년:50 2014년:50 2015년:50 
000970, 한국주철관,2013년:175 2014년:150 2015년:125 2016년:150 
024940, PN풍년,2012년:25 2013년:25 2014년:25 2015년:25 
068760, 셀트리온제약,2012년:- 2013년:- 2014년:25 2015년:15 
101670, 코리아에스이,2012년:80 2013년:80 2014년:30 2015년:120 
088130, 동아엘텍,2012년:75 2013년:105 2014년:105 2015년:130 
032560, 황금에스티,2012년:50 2013년:50 2014년:50 2015년:25 
006040, 동원산업,2012년:3000 2013년:3000 2014년:2000 2015년:2000 
010770, 평화홀딩스,2012년:100 2013년:100 2014년:100 2015년:100 
006280, 녹십자,2012년:1250 2013년:1250 2014년:1250 2015년:1750 
007370, 진양제약,2012년:100 2013년:100 2014년:100 2015년:100 
005190, 동성화학,2012년:160 2013년:250 2014년:250 2015년:500 
053270, 구영테크,2012년:- 2013년:- 2014년:- 2015년:100 
136540, 윈스,2012년:200 2013년:200 2014년:200 2015년:240 
131090, 시큐브,2012년:60 2013년:- 2014년:- 2015년:114 
047810, 한국항공우주,2012년:200 2013년:200 2014년:250 2015년:400 
081970, 한솔넥스지,2012년:- 2013년:20 2014년:20 2015년:20 
009310, 참엔지니어링,2012년:- 2013년:- 2014년:- 2015년:- 
045890, 동부라이텍,2012년:- 2013년:- 2014년:- 2015년:- 
001810, 무림SP,2012년:80 2013년:50 2014년:35 2015년:35 
002900, 동양물산,2012년:150 2013년:150 2014년:100 2015년:150 
024950, 삼천리자전거,2012년:150 2013년:150 2014년:200 2015년:200 
101680, 한국정밀기계,2011년:200 2012년:- 2013년:- 2014년:- 
066570, LG전자,2012년:200 2013년:200 2014년:400 2015년:400 
089470, 현대EP,2012년:60 2013년:80 2014년:100 2015년:130 
000720, 현대건설,2012년:500 2013년:500 2014년:500 2015년:500 
089230, 용현BM,2012년:- 2013년:- 2014년:- 2015년:- 
054340, 피앤텔,2012년:- 2013년:- 2014년:- 2015년:- 
900140, 코라오홀딩스,2012년:14 2013년:14 2014년:20 2015년:100 
033660, 아주캐피탈,2012년:300 2013년:250 2014년:300 2015년:400 
032580, 피델릭스,2011년:30 2012년:30 2013년:30 2014년:- 
009780, 엠에스씨,2012년:450 2013년:450 2014년:450 2015년:450 
005180, 빙그레,2012년:1400 2013년:1250 2014년:1250 2015년:1250 
028080, 휴맥스홀딩스,2012년:150 2013년:100 2014년:100 2015년:100 
173940, 에프엔씨엔터,2012년:- 2013년:- 2014년:400 2015년:400 
012700, 리드코프,2012년:100 2013년:100 2014년:100 2015년:150 
204320, 만도,-년:- -년:- 2014년:2000 2015년:4800 
035600, KG이니시스,2012년:125 2013년:150 2014년:200 2015년:200 
053260, 금강철강,2012년:100 2013년:100 2014년:100 2015년:100 
079430, 현대리바트,2012년:60 2013년:60 2014년:80 2015년:80 
004090, 한국석유,2012년:750 2013년:1000 2014년:1000 2015년:1300 
104700, 한국철강,2012년:900 2013년:900 2014년:900 2015년:900 
195990, 유지인트,2012년:345 2013년:345 2014년:345 2015년:140 
137400, 피엔티,2009년:60 2012년:200 2013년:- 2014년:100 
048910, 대원미디어,2012년:- 2013년:- 2014년:- 2015년:- 
009300, 삼아제약,2012년:200 2013년:200 2014년:200 2015년:200 
046970, 우리로광통신,2012년:25 2013년:- 2014년:- 2015년:- 
009540, 현대중공업,2011년:4000 2012년:2500 2013년:2000 2014년:- 
021650, 한국큐빅,2012년:75 2013년:50 2014년:50 2015년:50 
090470, 제이스텍,2012년:50 2013년:- 2014년:50 2015년:50 
001840, 이화공영,2012년:- 2013년:- 2014년:35 2015년:35 
122350, 삼기오토모티브,2012년:50 2013년:70 2014년:70 2015년:90 
214370, 케어젠,2012년:- 2013년:- 2014년:- 2015년:600 
032540, TJ미디어,2012년:130 2013년:80 2014년:- 2015년:100 
006060, 화승인더,2012년:25 2013년:- 2014년:- 2015년:25 
035810, 이지바이오,2012년:50 2013년:50 2014년:50 2015년:50 
126700, 하이비젼시스템,2012년:- 2013년:110 2014년:50 2015년:50 
014910, 성문전자,2012년:5 2013년:5 2014년:- 2015년:- 
028050, 삼성엔지니어링,2012년:3000 2013년:- 2014년:- 2015년:- 
066310, 큐에스아이,2012년:- 2013년:50 2014년:- 2015년:50 
101400, 네오피델리티,2011년:30 2012년:- 2013년:- 2014년:- 
134380, 미원화학,2012년:- 2013년:- 2014년:400 2015년:1250 
083930, 아바코,2012년:- 2013년:- 2014년:50 2015년:50 
080420, 모다이노칩,2012년:150 2013년:150 2014년:200 2015년:100 
002920, 유성기업,2012년:130 2013년:130 2014년:130 2015년:120 
044780, 한광,2011년:20 2012년:20 2013년:- 2014년:- 
023600, 삼보판지,2012년:- 2013년:- 2014년:50 2015년:50 
016090, 대현,2012년:16 2013년:23 2014년:17 2015년:35 
000500, 가온전선,2012년:600 2013년:1000 2014년:600 2015년:600 
089010, 켐트로닉스,2012년:265 2013년:425 2014년:25 2015년:50 
017180, 명문제약,2012년:- 2013년:31 2014년:35 2015년:35 
095910, 에스에너지,2012년:100 2013년:100 2014년:100 2015년:100 
900120, 씨케이에이치,2013년:- 2014년:- 2015년:- 2016년:2 
034730, SK,2012년:1250 2013년:1500 2014년:2000 2015년:3400 
033640, 네패스,2012년:100 2013년:- 2014년:- 2015년:50 
094820, 일진파워,2012년:130 2013년:150 2014년:170 2015년:170 
010780, 아이에스동서,2012년:- 2013년:- 2014년:400 2015년:500 
008470, 부스타,2012년:100 2013년:100 2014년:90 2015년:100 
006050, 국영지앤엠,2012년:20 2013년:- 2014년:15 2015년:- 
013810, 스페코,2012년:- 2013년:- 2014년:- 2015년:50 
123420, 선데이토즈,2012년:- 2013년:50 2014년:- 2015년:- 
065450, 빅텍,2011년:- 2012년:- 2013년:- 2014년:- 
082850, 우리이티아이,2012년:50 2013년:25 2014년:25 2015년:- 
017370, 우신시스템,2012년:60 2013년:20 2014년:20 2015년:30 
065690, 대진디엠피,2012년:- 2013년:- 2014년:- 2015년:- 
038070, 서린바이오,2012년:173 2013년:150 2014년:159 2015년:156 
091340, S&K폴리텍,2011년:150 2012년:150 2013년:- 2014년:- 
024900, 덕양산업,2012년:628 2013년:3876 2014년:40 2015년:20 
215000, 골프존,-년:- -년:- -년:- 2015년:4000 
091580, 상신이디피,2012년:50 2013년:50 2014년:50 2015년:50 
023810, 인팩,2012년:100 2013년:130 2014년:140 2015년:140 
214390, 경보제약,2012년:1750 2013년:3000 2014년:3000 2015년:275 
900110, 이스트아시아홀딩스,2012년:50 2013년:10 2014년:10 2015년:10 
093520, 매커스,2012년:- 2013년:- 2014년:- 2015년:80 
094850, 참좋은레져,2012년:100 2013년:100 2014년:100 2015년:100 
031430, 신세계인터내셔날,2012년:600 2013년:600 2014년:600 2015년:600 
071970, STX중공업,2012년:125 2013년:- 2014년:- 2015년:- 
005390, 신성통상,2012년:5 2013년:- 2014년:- 2015년:- 
007570, 일양약품,2013년:100 2014년:100 2015년:- 2015년:- 
131290, 티에스이,2011년:50 2012년:- 2013년:- 2014년:- 
064350, 현대로템,-년:- -년:- 2013년:125 2014년:- 
008420, 문배철강,2012년:50 2013년:50 2014년:50 2015년:50 
043650, 국순당,2012년:90 2013년:45 2014년:50 2015년:50 
007330, 푸른저축은행,2012년:- 2013년:- 2014년:- 2015년:300 
021880, 한국종합캐피탈,2013년:- 2014년:- 2015년:- 2016년:- 
089030, 테크윙,2012년:110 2013년:120 2014년:200 2015년:220 
101240, 씨큐브,2012년:- 2013년:- 2014년:100 2015년:100 
105840, 우진,2012년:60 2013년:130 2014년:170 2015년:200 
065680, 우주일렉트로,2012년:100 2013년:200 2014년:250 2015년:250 
101000, 디엠씨,2012년:- 2013년:- 2014년:25 2015년:30 
128940, 한미약품,2012년:- 2013년:- 2014년:- 2015년:2000 
024910, 경창산업,2012년:55 2013년:100 2014년:80 2015년:50 
053210, 스카이라이프,2012년:350 2013년:455 2014년:350 2015년:350 
054540, 삼영엠텍,2012년:120 2013년:80 2014년:- 2015년:80 
053450, 세코닉스,2012년:115 2013년:300 2014년:100 2015년:200 
031440, 신세계푸드,2012년:750 2013년:750 2014년:750 2015년:500 
034950, 한국기업평가,2012년:2197 2013년:1778 2014년:1682 2015년:1537 
030350, 드래곤플라이,2012년:100 2013년:- 2014년:- 2015년:- 
019540, 일지테크,2012년:50 2013년:60 2014년:100 2015년:100 
094840, 슈프리마,2012년:- 2013년:- 2014년:- 2015년:- 
005380, 현대차,2012년:1900 2013년:1950 2014년:3000 2015년:4000 
078140, 대봉엘에스,2012년:50 2013년:50 2014년:50 2015년:50 
010960, 삼호개발,2012년:90 2013년:90 2014년:100 2015년:100 
011810, STX,2012년:125 2013년:- 2014년:- 2015년:- 
068940, 아이씨케이,2011년:70 2012년:- 2013년:- 2014년:- 
020760, 일진디스플,2011년:100 2012년:200 2013년:200 2014년:100 
192440, 슈피겐코리아,2012년:400 2013년:440 2014년:660 2015년:600 
017390, 서울가스,2012년:1250 2013년:1250 2014년:1500 2015년:1750 
001800, 오리온,2012년:3000 2013년:3000 2014년:6000 2015년:6000 
136510, 쎄미시스코,2012년:- 2013년:20 2014년:20 2015년:20 
091120, 이엠텍,2011년:- 2012년:- 2013년:- 2014년:- 
100120, 뷰웍스,2012년:100 2013년:100 2014년:100 2015년:100 
138930, BNK금융지주,2012년:330 2013년:280 2014년:200 2015년:150 
000950, 전방,2011년:- 2012년:- 2013년:- 2014년:- 
115610, 이미지스,2011년:50 2012년:- 2013년:- 2014년:- 
033830, 티비씨,2012년:60 2013년:200 2014년:150 2015년:150 
095720, 웅진씽크빅,2011년:410 2012년:- 2013년:- 2014년:- 
009770, 삼정펄프,2012년:800 2013년:1000 2014년:1000 2015년:1250 
006260, LS,2012년:1250 2013년:1250 2014년:1250 2015년:1250 
004080, 신흥,2012년:200 2013년:200 2014년:200 2015년:200 
192410, 감마누,-년:- -년:- -년:- 2014년:200 
007590, 동방아그로,2012년:185 2013년:200 2014년:200 2015년:220 
079000, 와토스코리아,2012년:165 2013년:- 2014년:150 2015년:150 
053690, 한미글로벌,2012년:200 2013년:200 2014년:250 2015년:250 
085910, 네오티스,2012년:350 2013년:350 2014년:350 2015년:350 
082640, 동양생명,2013년:350 2013년:200 2014년:550 2015년:620 
044960, 이-글 벳,2012년:60 2013년:60 2014년:60 2015년:60 
134580, 디엠티,2012년:- 2013년:100 2014년:70 2015년:65 
068930, 디지털대성,2012년:100 2013년:120 2014년:160 2015년:160 
018470, 조일알미늄,2012년:20 2013년:15 2014년:- 2015년:15 
038060, 루멘스,2011년:- 2012년:- 2013년:- 2014년:25 
092440, 기신정기,2013년:200 2014년:200 2015년:200 2016년:150 
000700, 유수홀딩스,2012년:- 2013년:- 2014년:- 2015년:75 
100130, 동국S&C,2012년:70 2013년:70 2014년:70 2015년:100 
091590, 남화토건,2012년:150 2013년:100 2014년:100 2015년:70 
023800, 인지컨트롤스,2012년:100 2013년:100 2014년:100 2015년:150 
214180, 민앤지,-년:- -년:- 2014년:- 2015년:350 
033600, 이젠텍,2011년:100 2012년:100 2013년:- 2014년:- 
092200, 디아이씨,2011년:50 2012년:50 2013년:50 2014년:- 
056700, 신화인터텍,2011년:- 2012년:- 2013년:- 2014년:- 
032750, 삼진,2012년:100 2013년:100 2014년:100 2015년:120 
080470, 성창오토텍,2012년:80 2013년:80 2014년:50 2015년:50 
005160, 동국산업,2012년:120 2013년:120 2014년:120 2015년:140 
151910, 나노스,2012년:100 2013년:125 2014년:150 2015년:- 
028260, 삼성물산,2012년:- 2013년:- 2014년:- 2015년:500 
041460, 한국전자인증,2012년:33 2013년:38 2014년:39 2015년:42 
009520, 포스코엠텍,2012년:75 2013년:50 2014년:- 2015년:50 
007340, 동아타이어,2012년:75 2013년:100 2014년:150 2015년:250 
067830, 세이브존I&C,2012년:30 2013년:30 2014년:30 2015년:30 
020180, 대신정보통신,2013년:- 2014년:- 2015년:15 2016년:15 
001420, 태원물산,2012년:100 2013년:84 2014년:80 2015년:90 
102120, 어보브반도체,2012년:35 2013년:50 2014년:40 2015년:40 
099660, 신텍,2012년:- 2013년:- 2014년:- 2015년:- 
105630, 한세실업,2012년:120 2013년:150 2014년:200 2015년:250 
091700, 파트론,2012년:300 2013년:300 2014년:250 2015년:250 
038950, 파인디지털,2012년:100 2013년:100 2014년:100 2015년:100 
090850, 이지웰페어,2012년:- 2013년:50 2014년:75 2015년:75 
079810, 디이엔티,2011년:- 2012년:- 2013년:- 2014년:- 
010140, 삼성중공업,2012년:500 2013년:500 2014년:250 2015년:- 
161570, 미동전자통신,2012년:- 2013년:- 2014년:50 2015년:- 
036530, S&T홀딩스,2012년:400 2013년:400 2014년:215 2015년:265 
115440, 우리넷,2012년:160 2013년:150 2014년:150 2015년:150 
009150, 삼성전기,2012년:1000 2013년:750 2014년:750 2015년:500 
034590, 인천도시가스,2012년:1250 2013년:1250 2014년:1250 2015년:1250 
008060, 대덕전자,2012년:300 2013년:300 2014년:300 2015년:300 
002760, 보락,2012년:40 2013년:20 2014년:70 2015년:30 
023460, CNH,2012년:25 2013년:20 2014년:50 2015년:15 
025880, 케이씨피드,2012년:45 2013년:40 2014년:25 2015년:35 
049830, 승일,2011년:85 2012년:85 2013년:85 2014년:85 
000320, 노루홀딩스,2012년:350 2013년:400 2014년:400 2015년:400 
019180, 티에이치엔,2012년:40 2013년:40 2014년:20 2015년:60 
097230, 한진중공업,2012년:- 2013년:- 2014년:- 2015년:- 
099410, 동방선기,2011년:- 2012년:- 2013년:- 2014년:- 
051910, LG화학,2012년:4000 2013년:4000 2014년:4000 2015년:4500 
003830, 대한화섬,2011년:750 2012년:750 2013년:750 2014년:- 
084180, 수성,2012년:70 2013년:70 2014년:70 2015년:70 
222800, 심텍,-년:- -년:- -년:- 2015년:260 
014970, 삼륭물산,2012년:50 2013년:50 2014년:50 2015년:50 
126560, 현대에이치씨엔,2012년:40 2013년:40 2014년:40 2015년:40 
010130, 고려아연,2012년:5000 2013년:5000 2014년:6500 2015년:8500 
036540, STS반도체,2012년:- 2013년:- 2014년:- 2015년:- 
012790, 신일제약,2012년:80 2013년:90 2014년:120 2015년:120 
035200, 프럼파스트,2012년:- 2013년:- 2014년:100 2015년:100 
037620, 미래에셋증권,2013년:1000 2013년:350 2014년:350 2015년:350 
010120, LS산전,2012년:1000 2013년:1100 2014년:1300 2015년:1000 
034120, SBS,2012년:600 2013년:600 2014년:- 2015년:750 
009140, 경인전자,2012년:350 2013년:350 2014년:350 2015년:350 
011210, 현대위아,2012년:500 2013년:500 2014년:800 2015년:1100 
033270, 유나이티드제약,2012년:120 2013년:50 2014년:200 2015년:220 
170030, 현대공업,2012년:96 2013년:80 2014년:90 2015년:66 
021050, 서원,2012년:50 2013년:- 2014년:- 2015년:- 
025890, 한국주강,2011년:- 2012년:- 2013년:- 2014년:- 
171120, 라이온켐텍,2012년:100 2013년:200 2014년:110 2015년:200 
101490, 에스앤에스텍,2012년:50 2013년:- 2014년:- 2015년:- 
022100, 포스코 ICT,2011년:25 2012년:25 2013년:50 2014년:50 
026940, 부국철강,2012년:75 2013년:75 2014년:75 2015년:75 
067010, 이씨에스,2013년:180 2014년:200 2015년:220 2016년:250 
099440, 스맥,2012년:20 2013년:40 2014년:40 2015년:50 
005800, 신영와코루,2012년:1500 2013년:1500 2014년:1500 2015년:1500 
088790, 진도,2012년:- 2013년:- 2014년:- 2015년:150 
051900, LG생활건강,2012년:3750 2013년:3750 2014년:4000 2015년:5500 
004710, 한솔테크닉스,2011년:- 2012년:- 2013년:- 2014년:- 
123040, 엠에스오토텍,2012년:75 2013년:75 2014년:75 2015년:75 
056360, 코위버,2012년:60 2013년:100 2014년:130 2015년:100 
033240, 자화전자,2012년:300 2013년:350 2014년:400 2015년:400 
140410, 메지온,2011년:- 2012년:25 2013년:- 2014년:- 
004960, 한신공영,2012년:150 2013년:100 2014년:- 2015년:- 
001450, 현대해상,2013년:1050 2013년:550 2014년:750 2015년:750 
025860, 남해화학,2012년:30 2013년:50 2014년:60 2015년:60 
139670, 넥스트리밍,2011년:95 2012년:70 2013년:70 2014년:50 
000100, 유한양행,2012년:1250 2013년:1500 2014년:1750 2015년:2000 
001430, 세아베스틸,2012년:900 2013년:900 2014년:1000 2015년:1000 
067000, JCE,2012년:100 2013년:- 2014년:- 2015년:- 
003850, 보령제약,2012년:150 2013년:150 2014년:200 2015년:200 
068330, 일신바이오,2011년:50 2012년:50 2013년:- 2014년:5 
004700, 조광피혁,2011년:100 2012년:- 2013년:- 2014년:- 
044380, 주연테크,2012년:- 2013년:- 2014년:- 2015년:- 
003610, 방림,2012년:300 2013년:250 2014년:250 2015년:300 
043290, 케이맥,2011년:200 2012년:- 2013년:- 2014년:- 
012330, 현대모비스,2012년:1900 2013년:1950 2014년:3000 2015년:3500 
035420, NAVER,2012년:616 2013년:734 2014년:782 2015년:1100 
012320, 경동가스,2012년:1250 2013년:1250 2014년:1250 2015년:1250 
033250, 체시스,2012년:50 2013년:20 2014년:- 2015년:- 
009160, SIMPAC,2012년:100 2013년:80 2014년:80 2015년:120 
087220, 스틸플라워,2012년:50 2013년:- 2014년:- 2015년:- 
016920, 카스,2012년:50 2013년:50 2014년:25 2015년:25 
001680, 대상,2012년:150 2013년:150 2014년:300 2015년:400 
073070, 넥센테크,2012년:50 2013년:35 2014년:75 2015년:100 
069410, 엔텔스,2011년:- 2012년:150 2013년:150 2014년:100 
026960, 동서,2012년:800 2013년:550 2014년:600 2015년:670 
047400, 쌍용머티리얼,2012년:35 2013년:35 2014년:35 2015년:35 
046310, 백금T&A,2012년:- 2013년:- 2014년:- 2015년:- 
023450, 동남합성,2012년:200 2013년:200 2014년:200 2015년:200 
000590, CS홀딩스,2011년:- 2012년:- 2013년:- 2014년:- 
003800, 에이스침대,2012년:2000 2013년:2000 2014년:2500 2015년:3300 
043260, 성호전자,2011년:- 2012년:- 2013년:- 2014년:- 
024740, 한일단조,2012년:30 2013년:- 2014년:50 2015년:100 
002710, TCC동양,2011년:218 2012년:184 2013년:110 2014년:107 
023410, 유진기업,2012년:100 2013년:50 2014년:50 2015년:70 
099220, SDN,2012년:- 2013년:- 2014년:- 2015년:- 
106520, 디지탈옵틱,2012년:100 2013년:150 2014년:- 2015년:- 
001620, 동국실업,2011년:- 2012년:- 2013년:- 2014년:- 
078520, 에이블씨엔씨,2012년:550 2013년:350 2014년:60 2015년:350 
086390, 유니테스트,2012년:- 2013년:- 2014년:80 2015년:200 
034300, 신세계건설,2012년:500 2013년:- 2014년:- 2015년:250 
093920, 서원인텍,2012년:200 2013년:400 2014년:500 2015년:600 
090410, 덕신하우징,2011년:75 2012년:90 2013년:75 2014년:120 
012510, 더존비즈온,2012년:200 2013년:150 2014년:200 2015년:220 
012750, 에스원,2012년:1250 2013년:1100 2014년:1150 2015년:1200 
008260, NI스틸,2012년:50 2013년:50 2014년:50 2015년:50 
030190, NICE평가정보,2012년:180 2013년:90 2014년:100 2015년:120 
021240, 코웨이,2012년:- 2013년:2710 2014년:2000 2015년:2800 
000520, 삼일제약,2012년:150 2013년:150 2014년:200 2015년:200 
104110, 신성이엔지,2012년:- 2013년:- 2014년:- 2015년:- 
069640, 엠케이트렌드,2012년:200 2013년:150 2014년:150 2015년:200 
066130, 하츠,2012년:30 2013년:30 2014년:30 2015년:30 
098120, 마이크로컨텍솔,2012년:85 2013년:100 2014년:160 2015년:80 
091970, 나노캠텍,2012년:- 2013년:50 2014년:30 2015년:- 
035890, 서희건설,2011년:10 2012년:- 2013년:- 2014년:- 
034310, NICE,2012년:1300 2013년:110 2014년:110 2015년:120 
185750, 종근당,-년:- 2013년:300 2014년:800 2015년:600 
007160, 사조산업,2011년:200 2012년:- 2013년:- 2014년:- 
008250, 이건산업,2012년:- 2013년:150 2014년:150 2015년:150 
009580, 무림P&P,2012년:250 2013년:250 2014년:175 2015년:200 
008490, 서흥,2012년:150 2013년:200 2014년:250 2015년:250 
053060, 세동,2011년:- 2012년:- 2013년:- 2014년:- 
020120, 다우인큐브,2012년:- 2013년:- 2014년:30 2015년:20 
045660, 에이텍,2012년:100 2013년:100 2014년:100 2015년:100 
004910, 조광페인트,2012년:180 2013년:200 2014년:200 2015년:250 
103230, 에스앤더블류,2011년:- 2012년:- 2013년:- 2014년:- 
024720, 한국콜마홀딩스,2013년:65 2013년:65 2014년:100 2015년:125 
019170, 신풍제약,2012년:80 2013년:60 2014년:70 2015년:- 
182690, 테라셈,2012년:- 2013년:- 2014년:50 2015년:50 
090430, 아모레퍼시픽,2012년:6500 2013년:6500 2014년:9000 2015년:1350 
088350, 한화생명,2013년:150 2013년:130 2014년:180 2015년:180 
058730, 동아에스텍,2012년:75 2013년:100 2014년:100 2015년:150 
013870, 지엠비코리아,2012년:120 2013년:170 2014년:200 2015년:120 
011690, 유양디앤유,2012년:- 2013년:- 2014년:- 2015년:- 
053290, 능률교육,2012년:- 2013년:100 2014년:50 2015년:100 
011200, 현대상선,2012년:- 2013년:- 2014년:- 2015년:- 
008040, 동아원,2011년:20 2012년:30 2013년:30 2014년:- 
053050, 지에스이,2012년:80 2013년:80 2014년:85 2015년:100 
066110, 백산OPC,2012년:- 2013년:- 2014년:- 2015년:- 
192250, 케이사인,2012년:- 2013년:- 2014년:25 2015년:30 
069620, 대웅제약,2012년:800 2013년:800 2014년:700 2015년:700 
000300, 대유신소재,2011년:18 2012년:- 2013년:- 2014년:- 
101060, SBS미디어홀딩스,2012년:25 2013년:25 2014년:25 2015년:25 
020150, 일진머티리얼즈,2012년:- 2013년:- 2014년:- 2015년:- 
025820, 이구산업,2011년:30 2012년:- 2013년:- 2014년:20 
044340, 위닉스,2011년:50 2012년:50 2013년:100 2014년:100 
002960, 한국쉘석유,2012년:20000 2013년:20000 2014년:19000 2015년:20000 
066590, 우수AMS,2012년:- 2013년:- 2014년:- 2015년:- 
026910, 광진실업,2011년:50 2012년:25 2013년:25 2014년:25 
001630, 종근당홀딩스,2012년:700 2013년:1700 2014년:700 2015년:1200 
002720, 국제약품,2011년:50 2012년:- 2013년:40 2014년:60 
033200, 모아텍,2011년:60 2012년:- 2013년:- 2014년:- 
092600, 넥스트칩,2012년:80 2013년:- 2014년:- 2015년:50 
036710, 심텍,2011년:200 2012년:200 2013년:- 2014년:- 
010100, 한국프랜지,2011년:250 2012년:- 2013년:250 2014년:250 
140860, 파크시스템스,2012년:- 2013년:- 2014년:- 2015년:50 
079650, 서산,2012년:750 2013년:500 2014년:500 2015년:1000 
053280, 예스24,2012년:100 2013년:100 2014년:100 2015년:120 
023890, 아트라스BX,2012년:700 2013년:700 2014년:700 2015년:700 
097520, 엠씨넥스,2012년:30 2013년:100 2014년:300 2015년:330 
053700, 삼보모터스,2012년:50 2013년:50 2014년:50 2015년:50 
108860, 디오텍,2011년:- 2012년:- 2013년:- 2014년:- 
131400, 액트,2012년:50 2013년:50 2014년:- 2015년:- 
095340, ISC,2012년:400 2013년:305 2014년:500 2015년:252 
012160, 영흥철강,2012년:40 2013년:50 2014년:50 2015년:50 
014580, 백광소재,2012년:1000 2013년:1000 2014년:1000 2015년:100 
037460, 삼지전자,2012년:100 2013년:50 2014년:- 2015년:- 
011070, LG이노텍,2012년:- 2013년:- 2014년:250 2015년:350 
